Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Nov-13,8812.75,8837.85,8812.75,8823.5,5416284,108.16
05-Nov-13,8780.6,8791.1,8705.95,8724.1,11167513,824.33
06-Nov-13,8766.9,8865.5,8766.9,8843.05,10541322,852.23
07-Nov-13,8882.85,9058.05,8875.05,8956.55,14127553,1222.08
08-Nov-13,8969.7,9045.55,8933.9,8956.9,12086143,1477.59
11-Nov-13,8943.1,9095.75,8915,8962.85,11627133,1142.7
12-Nov-13,8971.65,9019.3,8899.05,8914.4,13947696,936.25
13-Nov-13,8897.5,8954.25,8845.35,8859.15,9193711,678.02
14-Nov-13,8912.9,8940.55,8855.55,8862,8681675,795.56
18-Nov-13,8919.4,9010.6,8919.4,8978.35,15134320,1114.09
19-Nov-13,8993.4,9019.4,8964.7,9003.9,16782460,1126.64
20-Nov-13,8987.2,9023.65,8902.65,8915.35,10531329,850.06
21-Nov-13,8912.55,8925.85,8745.3,8767.1,10689041,1066.97
22-Nov-13,8784.5,8848.5,8755.2,8785.45,8349741,667.29
25-Nov-13,8793.45,8875.35,8738.75,8783.8,7987188,829.24
26-Nov-13,8755.05,8795.65,8712.85,8758.3,21887814,2615.35
27-Nov-13,8775.8,8791.95,8680.95,8702.4,10149149,824.2
28-Nov-13,8729.25,8767,8679.1,8748.35,13298262,1023.69
29-Nov-13,8769.25,8839.75,8744,8820.75,13642751,803.03
01-Jan-14,9548.5,9558.35,9453.2,9462.8,5734793,270.86
02-Jan-14,9475.3,9546.3,9445.55,9478.35,12622275,737.18
03-Jan-14,9456.45,9684,9431.7,9673.2,15829301,1214.35
06-Jan-14,9707.35,9709.45,9569.65,9640.75,27476324,1475.11
07-Jan-14,9648.7,9648.7,9507.85,9522.75,17461491,1244.8
08-Jan-14,9539.15,9608.9,9519.25,9531.55,15395110,1251.01
09-Jan-14,9546.9,9606,9518.4,9575.85,20161855,1499.95
10-Jan-14,9664.4,9848.35,9602.6,9782.7,23518384,2640.27
13-Jan-14,9831.55,10080.95,9831.55,10060.15,17284944,1885.01
14-Jan-14,10042.65,10067.25,9964.25,9996.8,15676030,1320.09
15-Jan-14,10040.3,10105.5,10000.25,10065.95,15145341,1711.97
16-Jan-14,10089.25,10153.75,10043.65,10127.75,16064561,2054.15
17-Jan-14,10072.85,10078.95,9867.8,9884.35,19123291,2872.44
20-Jan-14,9872.2,10165.9,9872.2,10154,19145834,2072.71
21-Jan-14,10155.15,10158.45,10062.4,10095.55,14815525,1641.81
22-Jan-14,10078.2,10140.4,10051.6,10112.8,12091738,1206.96
23-Jan-14,10116.6,10123.95,10008.55,10086.35,14921463,1267.15
24-Jan-14,10036.6,10143,9997.35,10010.5,10898606,1026.38
27-Jan-14,9926.75,10012.8,9905.55,9938.65,10165059,1235.31
28-Jan-14,9906.5,9929.75,9807.7,9837.95,12787699,1418.54
29-Jan-14,9861.35,9945.6,9825.4,9896.7,9939870,972.7
30-Jan-14,9860.25,9903.05,9771.55,9878.75,9614272,1105.81
